컴공-----------
CEM2001-001	 	비즈니스 모델 개발 기초	2	3.0	교양필수	셀0(웹강의)	유홍성	상대평가	타학부 소속학생 수강신청 불가,
CHM1021-014	 	화학1	1	3.0	교양필수	셀0(웹강의)	최영식	상대평가	1학년수강불가(재수강 지정분반),
CHM1023-012	 	일반화학	1	3.0	교양필수	셀0(웹강의)	이건형	상대평가	1학년수강불가(재수강 지정분반),
EDU4262-001	 	원격교육론	전체	3.0	전공선택	셀0(웹강의)	이지연	상대평가	 
GEB1131-006	 	생활한문	1	1.0	교양필수	셀0(웹강의)	윤인현	상대평가	 
GEB1131-007	 	생활한문	1	1.0	교양필수	셀0(웹강의)	윤인현	상대평가	 
GEB1131-008	 	생활한문	1	1.0	교양필수	셀0(웹강의)	김상철	상대평가	 
GEB1131-009	 	생활한문	1	1.0	교양필수	셀0(웹강의)	이연세	상대평가	 
GEC1011-001	 	미래를 준비하는 글쓰기	전체	3.0	교양선택	셀9(웹강의)	한성우	상대평가	한국어문학,핵-①
GEC1013-001	 	상상력세계의 메커니즘	전체	3.0	교양선택	셀3(웹강의)	조병준	상대평가	프랑스언어문화,핵-①
GEC1014-001	 	그리스신화의분석	전체	3.0	교양선택	셀1(웹강의)	조병준	상대평가	프랑스언어문화,핵-①
GEC1015-001	 	영화로보는문학세계	전체	3.0	교양선택	셀9(웹강의)	김상원	상대평가	문화경영,핵-①
GEC2004-001	 	국제관계학개론	전체	3.0	교양선택	셀10(웹강의)	주승호	절대평가	영어,English,핵-②
GEC2004-002	 	국제관계학개론	전체	3.0	교양선택	셀10(웹강의)	주승호	절대평가	영어, English,핵-②
GEC2010-001	 	동북아와 한일관계	전체	3.0	교양선택	셀4(웹강의)	김웅희	상대평가	국제통상학,핵-②
GEC3001-001	 	인터넷이야기	전체	3.0	교양선택	셀4(웹강의)	박재천	상대평가	교양선택,핵-③
GEC3002-001	 	환경과 인간	전체	3.0	교양선택	셀9(웹강의)	조강현	상대평가	생명과학,핵-③
GEC3003-001	 	생활 속 바이오이야기	전체	3.0	교양선택	셀6(웹강의)	김은기	상대평가	생명공학,핵-③
GEC3005-001	 	생활과과학	전체	3.0	교양선택	셀1(웹강의)	이재우	상대평가	물리학,핵-③
GEC3007-001	 	인체와과학	전체	3.0	교양선택	셀2(웹강의)	이재우	상대평가	물리학,핵-③
GEC3008-001	 	지속가능성을 위한 화학 이야기	전체	3.0	교양선택	셀9(웹강의)	이익모	상대평가	화학,핵-③
GEC3009-001	 	현대생명과학의 이해	전체	3.0	교양선택	셀7(웹강의)	소재원	절대평가	영어,English,핵-③
GEC4011-001	 	희곡의 이해	전체	3.0	교양선택	셀11(웹강의)	왕치현	상대평가	문화경영,핵-④
GEG1005-001	 	재미있는 금융시장 이야기	전체	3.0	교양선택	셀7(웹강의)	남명수	상대평가	경영학,일-①
GEG1007-001	 	생생고객만족경영	전체	3.0	교양선택	셀3(웹강의)	김연성	상대평가	경영학,일-①
GEG1017-001	 	알기쉬운 무선산업	전체	3.0	교양선택	셀7(웹강의)	박재천	상대평가	교양선택,일-①
GEG1020-001	 	중국문화의 이해와 탐방	전체	3.0	교양선택	셀11(웹강의)	영남대	상대평가	교양선택,일-①
GEG1021-001	 	유럽문화와 사회	전체	3.0	교양선택	셀6(웹강의)	나애리	상대평가	교양선택,일-①
GEG1032-001	 	회계학의 이해	전체	3.0	교양선택	셀2(웹강의)	윤금상	상대평가	경영학,일-①
GEG1034-001	 	증권투자의 이해	전체	3.0	교양선택	셀6(웹강의)	홍영복	상대평가	경영학,일-①
GEG1039-001	 	축제와 문화	전체	3.0	교양선택	셀5(웹강의)	박지선	상대평가	사회교육,일-①
GEG1077-001	 	동화의이해	전체	3.0	교양선택	셀3(웹강의)	이문기	상대평가	문화경영,일-①
GEG1078-001	 	문학과스토리텔링	전체	3.0	교양선택	셀4(웹강의)	김요한	상대평가	문화경영,일-①
GEG1079-001	 	음식과문화현상	전체	3.0	교양선택	셀2(웹강의)	오영훈	상대평가	문화경영,일-①
GEG2003-001	 	자막없이 보는 미국드라마	전체	3.0	교양선택	셀11(웹강의)	영남대	상대평가	교양선택,일-②
GEG2024-001	 	생활일본어	전체	3.0	교양선택	셀10(웹강의)	이성규	상대평가	일본언어문화,일-②
